district,area_km2
"Arcachon, Gironde, France",16.224168118727643
"La Teste-de-Buch, Gironde, France",356.13420311871687
"Gujan-Mestras, Gironde, France",101.68125943664461
"Le Teich, Gironde, France",171.15830350872181
"Biganos, Gironde, France",104.62927875424931
"Audenge, Gironde, France",162.44316402844862
"Andernos-les-Bains, Gironde, France",41.33976940421966
"Lège-Cap-Ferret, Gironde, France",191.278953860176
"Arès, Gironde, France",97.80314176914585
"Marcheprime, Gironde, France",49.045789450420024
"Mios, Gironde, France",270.7858635760865
"Salles, Gironde, France",22.349991057338514
"Bélin-Béliet, Gironde, France",306.0890874053307
