station_number,station_name,original_lon,original_lat,snapped_node,snapped_lon,snapped_lat,snap_distance_m,suspicious_location
1,Centre d'incendie et de secours d'Andernos/Lanton,-1.0905644257387734,44.74054186422828,7840438598,-1.0214713,44.6928917,10718.207599971278,True
2,Centre d'incendie et de secours d'Arcachon,-1.1608577950437753,44.65901998455894,495561953,-1.1602188,44.6591196,72.82096474057221,False
3,Centre d'incendie et de secours de Mios,-0.932198815422705,44.60103055344069,3502448968,-0.9305158,44.601348,193.81482404245156,False
4,Centre d'incendie et de secours du Pyla-sur-Mer,-1.1979137419661425,44.604760409529966,672787210,-1.1972762,44.6045367,79.12217966226886,False
5,Centre d'incendie et de secours de Marcheprime,-0.8574747627994841,44.68940016773991,994087060,-0.8581815,44.689617,85.68721421039282,False
6,Centre d'incendie et de secours du Cap-Ferret,-1.2548908603872833,44.64642518550975,511117273,-1.2038948,44.6405836,5749.958917538228,True
7,Centre d'incendie et de secours de Biganos,-0.9523157410091572,44.63902343367662,3018789287,-0.9512213,44.6391509,123.4538758944535,False
8,Centre d'incendie et de secours du Teich,-1.0198969206915913,44.636670057758906,570092228,-1.0191755,44.6368425,84.7181433742695,False
9,Centre d'incendie et de secours de Gujan-Mestras,-1.0722940371580865,44.625908627395845,560819897,-1.0722505,44.6254807,67.10781795948662,False
10,Centre d'incendie et de secours de Belin-Beliet,-0.7906871459691863,44.493606018256884,2450853114,-0.8914264,44.5819962,17785.34584416641,True
11,ESIS,-1.120579445104813,44.54015310210497,700028526,-1.1393259,44.5381367,2110.4736590263574,False
12,Centre d'incendie et de secours de La-Teste-de-Buch,-1.12366741881473,44.61607497774553,1292047024,-1.1250649,44.6166415,179.02605333497283,False
